,TS_Barrier,HOMO-O (Hartree),LUMO-O (Hartree),Dipole Moment X (Debye),Dipole Moment Total (Debye),D16 value,I-O Bond,I=O,I-OH bond
count,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0
mean,18.44956935238732,-0.29926908450704226,-0.039415809859154924,1.6992366197183097,10.514630281690142,7.301804084507042,2.1553491787112673,1.8203425534507045,1.9996536379894365
std,3.36657887561996,0.023159362237107965,0.007006929662798661,1.7908839357041237,1.3589478788846203,7.773813582961653,0.014382279371313414,0.002239796944330368,0.00840098699473425
min,9.188150368,-0.3442,-0.08895,-3.3265,6.8137,-10.8276,2.10537016,1.810152669,1.956960421
25%,15.803926625,-0.3146,-0.042795,0.527475,9.704875000000001,3.3525075,2.14576265825,1.818862675,1.99676530375
50%,19.81815436,-0.30316,-0.03844,1.52925,10.486699999999999,4.0274,2.1550029795,1.820345533,2.0023544625
75%,20.991962445,-0.28923,-0.03416,2.7580999999999998,11.456925,14.00336,2.1668696069999998,1.82173947125,2.00517019325
max,23.49070667,-0.22158,-0.02941,7.5911,16.0444,29.57151,2.212468457,1.827747558,2.017282467
