Model,MAE,MSE,RMSE,MAPE (%),R²
Linear Regression,0.9506367944656134,2.16524795282425,1.4714781523435032,5.588785927212616,0.8307604077182966
Random Forest,0.6776178741803495,0.8107543048316223,0.9004189607241855,3.7554941488029856,0.936630016062887
Gradient Boosting,0.6833147783671774,0.7462654040860841,0.8638665429833963,3.854641762562617,0.9416705820888861
Support Vector Regression,0.4397458208400492,0.3324153227285514,0.5765547005519523,2.500406707483759,0.9740178331015666
Neural Network,0.4605760028695843,0.32203785252813977,0.5674837905421967,2.605751148783779,0.9748289544437401
