Model,MAE_Default,MSE_Default,RMSE_Default,MAPE (%)_Default,R²_Default,MAE_Tuned,MSE_Tuned,RMSE_Tuned,MAPE (%)_Tuned,R²_Tuned
Linear Regression,0.9506367944656134,2.16524795282425,1.4714781523435032,5.588785927212616,0.8307604077182966,,,,,
Random Forest,0.6776178741803495,0.8107543048316223,0.9004189607241855,3.7554941488029856,0.936630016062887,0.7060511558143111,0.8873512016399046,0.9419932067907414,3.9511407213852565,0.930643067746428
Gradient Boosting,0.6833147783671774,0.7462654040860841,0.8638665429833963,3.854641762562617,0.9416705820888861,0.6717211129282408,0.7043910430010711,0.8392800742309274,3.763312904904363,0.9449435558782577
Support Vector Regression,0.4397458208400492,0.3324153227285514,0.5765547005519523,2.500406707483759,0.9740178331015666,0.7763941133751054,1.1678867392366978,1.0806880860066412,4.413186825170237,0.9087159161971183
Neural Network,0.4605760028695843,0.32203785252813977,0.5674837905421967,2.605751148783779,0.9748289544437401,0.7272541473750568,1.157378765383889,1.0758153955878718,4.049518769772676,0.9095372379345372
